shopid,shop_name,shop_location,shop_rating,shopee_verified,Shopdacbiet,Shopxuhuong
176380499,Kuu Clothes,Hà Nội,4.878462,True,0.0,1.0
421729199,Duy Anh Leather,Bắc Giang,4.895885,True,0.0,0.0
301515073,Tooxy,Hà Nội,4.876214,True,0.0,0.0
194093906,BS HOUSE - PHỤ KIỆN THỜI TRANG,TP. Hồ Chí Minh,4.874599,False,0.0,0.0
413642541,LUSEEN Official Store,Nước ngoài,4.745344,False,0.0,0.0
525899126,Yarmoire,Nước ngoài,4.878874,True,0.0,0.0
237548276,yuzhu.vn,Nước ngoài,4.855979,True,0.0,0.0
760652343,tdeyeglasses.vn,Nước ngoài,4.842412,True,0.0,0.0
256692642,MHTT Store,Hà Nội,4.785452,True,0.0,0.0
400636207,fonex.vn,Nước ngoài,4.947273,False,0.0,0.0
44186326,CTY TNHH TÂN THIÊN PHÁT,TP. Hồ Chí Minh,4.891827,True,0.0,0.0
242376245,bhldhungvuong,Hà Nội,4.609091,False,0.0,0.0
48957111,AORONEYESWEAR,Hà Nội,4.835134,True,0.0,0.0
232329480,JunJun HCM,TP. Hồ Chí Minh,4.851469,True,0.0,0.0
447607857,AB0003Mall,Nước ngoài,4.681818,False,0.0,0.0
783784316,BELMON GLASSES STORE,Nước ngoài,4.544828,False,0.0,0.0
795149471,ZELIN Ofiicial Shop,Nước ngoài,4.839934,False,0.0,0.0
897707400,menspe.vn,Nước ngoài,4.865079,True,0.0,0.0
105033397,"Kính thời trang, kính râm",Nước ngoài,4.763876,True,0.0,0.0
61651484,minhhangxuat,Hà Nội,4.733764,False,0.0,0.0
284378944,AGOO Fashion Accessories Store,Nước ngoài,4.743842,False,0.0,0.0
306276366,PAT Store 86,Hà Nội,4.469894,True,1.0,0.0
143736892,Orient Việt Nam,Nam Định,4.847946,False,0.0,1.0
436777764,Kathleen,Hà Nội,4.72148,True,1.0,0.0
25224224,Jun Secret Official,TP. Hồ Chí Minh,4.869806,False,0.0,0.0
469271733,Khohangthanhlythienphat,TP. Hồ Chí Minh,3.755943,False,0.0,0.0
127425767,lkteamor.vn,Nước ngoài,4.89336,True,0.0,0.0
298548059,HongNhungShop105,Hà Nội,4.895387,False,0.0,0.0
83010012,Thời trang kínhvà phụkiện,Bắc Giang,4.74359,False,0.0,0.0
53118009,Hauhaushop91,Hải Dương,4.822233,True,0.0,0.0
17090301,Bách Hóa Onlinezzz,Hà Nội,4.773678,False,1.0,0.0
399000750,eyesmax.vn official,Hà Nội,4.868755,False,0.0,1.0
96120292,BỰ STORE SỈ PHỤ KIỆN DU LỊCH,TP. Hồ Chí Minh,4.882145,False,0.0,0.0
111715780,San9.Kính râm,Nước ngoài,4.901398,True,0.0,0.0
75456417,josejinn.vn,Nước ngoài,4.731235,False,0.0,0.0
826334623,renhong.vn,Nước ngoài,4.818828,True,0.0,0.0
186608798,Shop Chuyên Sỉ 91,Hải Dương,4.688869,True,1.0,0.0
213855084,Mắt Kính Titanus,TP. Hồ Chí Minh,4.863568,True,0.0,1.0
315998806,LINDO-STORE,Hà Nội,4.840363,False,0.0,0.0
75455948,teamor520.vn,Nước ngoài,4.915517,True,0.0,0.0
186196872,Kính mắt của YOOY,Nước ngoài,4.81724,True,0.0,0.0
3063340,SKY WATCH,Hà Nội,4.697224,True,0.0,1.0
18722862,Mắt Kính Eyepro,TP. Hồ Chí Minh,4.917788,True,0.0,1.0
29660768,sieuthi2s.com,Hà Nội,4.751376,True,1.0,0.0
869073172,LouisWill.Pro.vn,TP. Hồ Chí Minh,4.876404,True,0.0,0.0
110889381,samjune.vn,Nước ngoài,4.881255,False,0.0,0.0
289792705,DŨNG TỔNG STORE,Ninh Bình,4.770115,False,0.0,0.0
81200028,crnaira_store,Hà Nội,4.826021,False,1.0,0.0
17259208,Trang Sức TNJ,Hà Nội,4.828087,False,0.0,0.0
135241639,hongki.vn,Nước ngoài,4.786861,True,0.0,0.0
552094425,Simla Body Jewelry,TP. Hồ Chí Minh,4.967254,False,0.0,1.0
125197678,Dây Chuyền Nam Bảo Bảo Store,TP. Hồ Chí Minh,4.760647,True,0.0,0.0
131307628,nicholasnguyen159,TP. Hồ Chí Minh,4.86725,False,1.0,0.0
98208654,Bông Tai - Bim's house,Hà Nội,4.843867,True,0.0,0.0
153156087,yuanzhen1.vn,Nước ngoài,4.815173,True,0.0,0.0
372075546,lzxiaot.vn,Nước ngoài,4.701859,False,0.0,0.0
10882322,TRANG SỨC PT,Bình Thuận,4.829582,True,0.0,1.0
739548389,SAZ STORE,Hà Nội,4.803669,True,1.0,1.0
77883133,shoptgv 24/h,Hà Nội,4.507692,True,1.0,0.0
164772605,wishshop.vn,Nước ngoài,4.758046,True,0.0,0.0
81202070,shkingdo.vn,Nước ngoài,4.779367,True,0.0,0.0
487113135,fashion_store.vn,Nước ngoài,4.767158,False,0.0,0.0
166665639,Linnor Jewellery Accessories,Nước ngoài,4.798815,True,0.0,0.0
20413327,Lorion - Thời trang & Tiện ích,Hải Dương,4.643339,True,0.0,0.0
254554055,Xuyến Chi Jewelry,Nam Định,4.887894,True,0.0,0.0
410957867,Rose1.vn,Nước ngoài,4.710747,False,0.0,0.0
191298635,YESMANVăn học nam nữ,Nước ngoài,4.861198,True,0.0,0.0
83236427,SEUSUK.vn,Nước ngoài,4.614978,False,0.0,0.0
267466458,Viễn Chí Bảo,Hà Nội,4.87933,False,0.0,0.0
128196883,twotiger.vn,Nước ngoài,4.767501,False,0.0,0.0
88260810,hequ.vn,Nước ngoài,4.82236,False,0.0,0.0
429761256,Trang sức bạc Gemy,Hà Nội,4.907624,False,0.0,1.0
75556588,Shop Phật Giáo Thanh Sơn,TP. Hồ Chí Minh,4.885608,True,0.0,0.0
360393301,CiCi Store - PHỤ KIỆN Unisex,TP. Hồ Chí Minh,4.89803,True,0.0,0.0
1142598,H.P.J Store.,TP. Hồ Chí Minh,4.872496,True,0.0,0.0
827698466,punstore.accessories,Hà Nội,4.800295,True,1.0,1.0
57040335,Rosi Accessories,Hà Nội,4.8367,True,0.0,0.0
162274849,SHOP TIẾN ÁCH,Hà Nội,4.786517,True,0.0,0.0
396645017,startopoele2.vn,Nước ngoài,4.806568,True,0.0,0.0
233399499,Xưởng Thời trang Hazin,Hà Nội,4.846619,True,0.0,0.0
640866485,TACADO.STORE,Hà Nội,4.779968,False,0.0,0.0
55746979,SHOPBALOTUI.COM,Hà Nội,4.927085,True,0.0,1.0
590407298,OUTBREAK,TP. Hồ Chí Minh,4.866252,False,0.0,0.0
411804925,shop MrBean,TP. Hồ Chí Minh,4.821577,False,0.0,0.0
183817709,LEGGING LEGGING,Hà Nội,4.914484,True,1.0,0.0
298083838,TINAB official,Hòa Bình,4.825175,False,0.0,0.0
849360066,ĐỒ DA HN VIỆT NAM,Hà Nội,4.676299,False,0.0,1.0
496783368,Jino Studio,TP. Hồ Chí Minh,4.89056,True,0.0,0.0
76560009,NÓN PHÚC,TP. Hồ Chí Minh,4.882843,False,0.0,0.0
74543752,ĐỒ PHƯỢT SHOP Official,TP. Hồ Chí Minh,4.826506,True,1.0,0.0
47653639,DINO MEN,TP. Hồ Chí Minh,4.91569,True,0.0,1.0
230993635,X-men Shop 37,Nghệ An,4.341053,True,1.0,1.0
3596871,Xưởng May Quần Jean Nam - Nữ,Đà Nẵng,4.643439,True,0.0,0.0
66524948,Xưởng Jean Thúy Duyên Cs1,Đồng Nai,4.688488,False,0.0,0.0
233309965,VATTUNGANHIN,TP. Hồ Chí Minh,4.853025,True,0.0,0.0
134955422,DOLPHIN.VN,Hà Nội,4.849915,True,0.0,0.0
187538379,U.M Official store,TP. Hồ Chí Minh,4.909745,True,0.0,0.0
449649004,Laviici,TP. Hồ Chí Minh,4.938824,False,0.0,0.0
236382259,enless shop,TP. Hồ Chí Minh,4.947467,True,0.0,1.0
82611496,Supersports Việt Nam,Đồng Nai,4.794986,False,0.0,0.0
36347784,ACE streetwear,Hà Nội,4.853061,False,0.0,0.0
14583531,VIETGANGZ ORIGINAL,Hải Phòng,4.851623,False,0.0,0.0
414055255,Rotti Tattoo Supply,TP. Hồ Chí Minh,4.859155,False,0.0,0.0
156143355,Replei1986.vn,TP. Hồ Chí Minh,4.906432,False,1.0,0.0
549042252,Vải Thể Thao-Lót-Lưới,TP. Hồ Chí Minh,4.793103,False,0.0,0.0
393325911,MALTRIK THỜI TRANG NAM BIGSIZE,Hà Nội,4.898819,True,0.0,1.0
56031075,Chuyên sỉ lẽ quần nam,Đà Nẵng,4.70925,False,1.0,0.0
30128480,aobongdalaocai,Lào Cai,4.82146,False,0.0,0.0
471784662,DADMADE.online,TP. Hồ Chí Minh,4.890365,False,0.0,0.0
85290285,Rocker.Phụ Kiện Nam,Hà Nội,4.90305,True,0.0,0.0
430577475,DepLeBaoBinhShop33.4,Hải Dương,4.45804,False,0.0,0.0
333356875,Smakerhanoi,Hà Nội,4.91042,True,0.0,0.0
396705345,Hàng Nhật H.o.n.d.a,Thanh Hóa,4.903885,True,0.0,0.0
299400775,Happy Style - Số 1 Mũ Nón VN,TP. Hồ Chí Minh,4.946853,True,0.0,0.0
77520556,Xưởng may thời trang siêu rẻ,TP. Hồ Chí Minh,4.6961,False,0.0,0.0
68075982,HomeMall,Hà Nội,4.846284,True,0.0,0.0
445197566,ZICO MENSWEAR,TP. Hồ Chí Minh,4.91001,False,0.0,0.0
318480822,Khăn Chầu Áo Ngự Đức Thu,Hải Phòng,4.77,False,0.0,0.0
58358034,Tiệm Doodle,TP. Hồ Chí Minh,4.884088,False,1.0,1.0
239651318,RicemilkKids,Hà Nội,4.906295,True,0.0,1.0
619008111,AOKANG,Nước ngoài,4.479022,False,0.0,0.0
7239997,BẢO HỘ LAO ĐỘNG THINKSAFE,TP. Hồ Chí Minh,4.918681,True,0.0,0.0
36585004,Bảo hộ lao động Shuni,Nam Định,4.826984,False,0.0,0.0
894987818,Cửa hàng đồ nam ZZ.vn,Nước ngoài,4.455882,False,0.0,0.0
225256924,Quang Trung - Bảo hộ lao động,Hà Nội,4.711864,False,0.0,0.0
23661299,BẢO HỘ LAO ĐỘNG PHÚC DŨNG,TP. Hồ Chí Minh,4.853333,True,0.0,0.0
51113544,NQT Shop,Phú Thọ,4.841159,True,1.0,0.0
354027293,BHLD Hoàng Bảo Ngọc,Hà Nội,4.566802,False,0.0,0.0
119075334,Chuyên sỉ-lẻ đồ BHLĐ Đại An,TP. Hồ Chí Minh,4.836119,False,0.0,0.0
69978547,An Toàn Lao Động Đại An,TP. Hồ Chí Minh,4.805387,True,0.0,0.0
21140885,Xuong May Tap De,TP. Hồ Chí Minh,4.949733,True,0.0,0.0
546133106,KCT Việt Nam,Bắc Ninh,4.745455,False,0.0,0.0
